Name,Wilcoxon_FDR,Wilcoxon_nominal,limma_FDR,limma_nominal,PLSDA_VIP
Methanesulfonic Acid,0,1,0,0,1
2-Furoic Acid,0,1,0,0,0
N-Acetylalanine,0,1,0,1,1
D-Glucose 6-Phosphate,0,1,0,1,1
2-Sc S-(2-Succinyl)-L-Cysteine,0,1,0,1,1
Υ-L-Glutamyl-L-Glutamic Acid,0,1,0,1,1
"1,3-Benzodioxolylbutanamine (Bdb)",0,1,0,1,1
Adenylyl(3'-5')Cytidine,0,1,0,1,1
Uridine Monophosphate,0,1,0,1,0
Pa(29:1_20:6),0,1,0,1,1
Pi 38:6,0,1,0,0,1
"1,3-Diphenylacetone",0,1,0,1,1
Monolaurin,0,1,0,0,0
Peg N13,0,1,0,0,0
Docosanamide,0,1,0,0,1
Vitamin D3,0,1,0,1,1
Cer(D15:2_7:0),0,1,0,1,1
Bis(2-Ethylhexyl) Adipate,0,1,0,1,1
Citroflex A-4,0,1,0,1,1
"2-[{[(1s,4s,6s)-4-({5-[4-(Dimethylamino)Phenyl]-1,3,4-Oxadiazol-2-Yl}Methyl)-6-Isopropyl-3-Methyl-2-Cyclohexen-1-Yl]Methyl}(Methyl)Amino]Ethanol",0,1,0,1,1
3-Hydroxystigmast-5-En-7-One,0,1,0,1,0
Dg(4:0_34:6),0,1,0,1,0
Risedronic Acid,0,0,0,1,1
D-Tyrosine,0,0,0,1,0
L-Glutamic Acid,0,0,0,1,1
Propham,0,0,0,1,0
Pe(O-17:3_21:1),0,0,0,0,1
Lpc 20:3-Sn1,0,0,0,0,1
Pg(O-29:8_21:6),0,0,0,0,1
3-Hexadecyl-4-Methoxy-5-Methyloxolan-2-One,0,0,0,0,1
"[2,2'-Biquinoline]-4,4'-Dicarboxylic Acid",0,0,0,0,1
Cytidine 5'-Diphosphate,0,0,0,0,1
Xawlprcylccvfp-Cvlifihmsa-N,0,0,0,0,1
Pe(18:0_22:6),0,0,0,0,1
Pc(18:1_5:1cho),0,0,0,0,1
N2-Methylguanosine,0,0,0,0,1
Asp-Leu,0,0,0,0,1
Pc(6:0_17:0cho),0,0,0,0,1
Pc(22:3cho_27:6),0,0,0,0,1
Pc(26:6_21:6cho),0,0,0,0,1
Cholest-4-En-3-One,0,0,0,0,1
Proline Betaine,0,0,0,0,1
Cl(18:0_20:1cho_23:1_21:2),0,0,0,0,1
Progesterone,0,0,0,0,1
