gene,n_metabolites,n_cell_types,n_associations,sfari_score,is_sfari,is_hub
RPL22,2,1,2,NA,FALSE,FALSE
CORT,8,1,8,NA,FALSE,TRUE
DHRS3,2,1,2,NA,FALSE,FALSE
CROCCP2,1,1,1,NA,FALSE,FALSE
RPL11,2,1,2,NA,FALSE,FALSE
STMN1,2,2,2,NA,FALSE,FALSE
MARCKSL1,2,2,2,NA,FALSE,FALSE
CSMD2,2,1,2,3,TRUE,FALSE
RPS8,3,2,3,NA,FALSE,FALSE
LINC01748,1,1,1,NA,FALSE,FALSE
NEGR1,2,2,2,2,TRUE,FALSE
ENSG00000286863,1,1,1,NA,FALSE,FALSE
ST6GALNAC3,2,1,2,NA,FALSE,FALSE
ADGRL2,1,1,1,NA,FALSE,FALSE
COL24A1,1,1,1,NA,FALSE,FALSE
LMO4,1,1,1,NA,FALSE,FALSE
RPL5,2,1,2,NA,FALSE,FALSE
MIR137HG,1,1,1,NA,FALSE,FALSE
GPR88,1,1,1,NA,FALSE,FALSE
RPS27,4,3,4,NA,FALSE,FALSE
RXRG,3,2,3,NA,FALSE,FALSE
BRINP3,1,1,1,3,TRUE,FALSE
CRB1,1,1,1,NA,FALSE,FALSE
DNAH14,2,2,2,NA,FALSE,FALSE
MAP3K21,1,1,1,NA,FALSE,FALSE
SLC35F3,4,1,4,NA,FALSE,FALSE
RYR2,10,3,10,NA,FALSE,TRUE
CHRM3-AS2,1,1,1,NA,FALSE,FALSE
RGS7,1,1,1,2,TRUE,FALSE
SNTG2,1,1,1,2,TRUE,FALSE
RPS7,2,1,2,NA,FALSE,FALSE
ENSG00000233005,5,1,5,NA,FALSE,TRUE
KLHL29,1,1,1,NA,FALSE,FALSE
ALK,1,1,1,NA,FALSE,FALSE
CALM2,2,2,2,NA,FALSE,FALSE
ENSG00000231918,1,1,1,NA,FALSE,FALSE
RPS27A,3,2,3,NA,FALSE,FALSE
LINC01798,2,1,2,NA,FALSE,FALSE
TACR1,1,1,1,NA,FALSE,FALSE
CTNNA2,1,1,1,NA,FALSE,FALSE
TMSB10,4,3,4,NA,FALSE,FALSE
ST3GAL5,1,1,1,NA,FALSE,FALSE
CRACDL,1,1,1,NA,FALSE,FALSE
NPAS2,1,1,1,2,TRUE,FALSE
RPL31,2,1,2,NA,FALSE,FALSE
ENSG00000286481,1,1,1,NA,FALSE,FALSE
CNTNAP5,3,1,3,2,TRUE,FALSE
THSD7B,1,1,1,NA,FALSE,FALSE
LRP1B,1,1,1,NA,FALSE,FALSE
ZEB2,1,1,1,3,TRUE,FALSE
GALNT13,1,1,1,2,TRUE,FALSE
ENSG00000286679,1,1,1,NA,FALSE,FALSE
PKP4,1,1,1,NA,FALSE,FALSE
RBMS1,1,1,1,NA,FALSE,FALSE
MYO3B,1,1,1,NA,FALSE,FALSE
CHN1,1,1,1,NA,FALSE,FALSE
GULP1,3,2,3,NA,FALSE,FALSE
CAVIN2-AS1,1,1,1,NA,FALSE,FALSE
PARD3B,4,3,4,2,TRUE,FALSE
EEF1B2,3,2,3,NA,FALSE,FALSE
ERBB4,1,1,1,NA,FALSE,FALSE
RPL37A,5,4,5,NA,FALSE,TRUE
DIRC3-AS1,3,1,3,NA,FALSE,FALSE
EPHA4,3,1,3,NA,FALSE,FALSE
C2orf83,1,1,1,NA,FALSE,FALSE
SPHKAP,2,1,2,NA,FALSE,FALSE
PTMA,1,1,1,NA,FALSE,FALSE
NGEF,1,1,1,NA,FALSE,FALSE
AGAP1,1,1,1,2,TRUE,FALSE
IQCA1,1,1,1,NA,FALSE,FALSE
RAMP1,1,1,1,NA,FALSE,FALSE
CNTN6,3,2,3,2,TRUE,FALSE
CNTN4,2,2,2,2,TRUE,FALSE
ENSG00000270207,1,1,1,NA,FALSE,FALSE
SLC6A1,1,1,1,1,TRUE,FALSE
SYN2,1,1,1,2,TRUE,FALSE
RPL32,2,1,2,NA,FALSE,FALSE
SATB1-AS1,1,1,1,NA,FALSE,FALSE
ZNF385D-AS2,1,1,1,NA,FALSE,FALSE
RPL15,2,2,2,NA,FALSE,FALSE
THRB,1,1,1,NA,FALSE,FALSE
RARB,10,3,10,NA,FALSE,TRUE
RPSA,2,1,2,NA,FALSE,FALSE
ENTPD3,1,1,1,NA,FALSE,FALSE
RPL14,2,1,2,NA,FALSE,FALSE
CCK,2,1,2,NA,FALSE,FALSE
TMA7,1,1,1,NA,FALSE,FALSE
RPL29,1,1,1,NA,FALSE,FALSE
CACNA2D3,1,1,1,1,TRUE,FALSE
PRICKLE2,3,1,3,2,TRUE,FALSE
MAGI1,1,1,1,NA,FALSE,FALSE
FOXP1,6,2,6,1,TRUE,TRUE
PDZRN3,1,1,1,NA,FALSE,FALSE
ROBO2,3,2,3,2,TRUE,FALSE
ROBO1,3,2,3,NA,FALSE,FALSE
ENSG00000288105,1,1,1,NA,FALSE,FALSE
CADM2,1,1,1,2,TRUE,FALSE
EPHA6,2,2,2,NA,FALSE,FALSE
RPL24,1,1,1,NA,FALSE,FALSE
ALCAM,3,1,3,NA,FALSE,FALSE
DRD3,1,1,1,2,TRUE,FALSE
ZBTB20,2,1,2,1,TRUE,FALSE
GAP43,2,1,2,NA,FALSE,FALSE
LSAMP,1,1,1,NA,FALSE,FALSE
LINC03051,2,1,2,NA,FALSE,FALSE
SLC9A9,1,1,1,2,TRUE,FALSE
MED12L,1,1,1,2,TRUE,FALSE
GPR149,6,3,8,NA,FALSE,TRUE
MME,1,1,1,NA,FALSE,FALSE
SOX2-OT,3,1,3,NA,FALSE,FALSE
ENSG00000239381,1,1,1,NA,FALSE,FALSE
DGKG,1,1,1,NA,FALSE,FALSE
IL1RAP,1,1,1,NA,FALSE,FALSE
FGF12,1,1,1,NA,FALSE,FALSE
RPL35A,4,3,4,NA,FALSE,FALSE
ATP5ME,1,1,1,NA,FALSE,FALSE
C4orf48,1,1,1,NA,FALSE,FALSE
PPP2R2C,1,1,1,NA,FALSE,FALSE
LDB2,1,1,1,NA,FALSE,FALSE
KCNIP4,4,1,4,NA,FALSE,FALSE
RPL9,3,2,3,NA,FALSE,FALSE
LIMCH1,1,1,1,NA,FALSE,FALSE
KCTD8,2,2,2,NA,FALSE,FALSE
GABRA4,1,1,1,2,TRUE,FALSE
GABRB1,2,2,2,NA,FALSE,FALSE
LINC02232,1,1,1,NA,FALSE,FALSE
ADAMTS3,2,2,2,NA,FALSE,FALSE
FRAS1,2,1,2,NA,FALSE,FALSE
RASGEF1B,9,3,9,NA,FALSE,TRUE
PTPN13,1,1,1,NA,FALSE,FALSE
CCSER1,4,3,4,2,TRUE,FALSE
UNC5C,1,1,1,NA,FALSE,FALSE
CXXC4-AS1,4,2,4,NA,FALSE,FALSE
NPNT,1,1,1,NA,FALSE,FALSE
RPL34,3,2,3,NA,FALSE,FALSE
COL25A1,5,1,5,NA,FALSE,TRUE
ENSG00000288921,1,1,1,NA,FALSE,FALSE
ARHGAP10,2,1,2,NA,FALSE,FALSE
NR3C2,1,1,1,1,TRUE,FALSE
RPS3A,3,2,3,NA,FALSE,FALSE
SH3D19,1,1,1,NA,FALSE,FALSE
DCHS2,1,1,1,NA,FALSE,FALSE
GUCY1A1,12,3,14,NA,FALSE,TRUE
GUCY1B1,1,1,1,NA,FALSE,FALSE
RXFP1,2,2,2,NA,FALSE,FALSE
MARCHF1,1,1,1,NA,FALSE,FALSE
SPOCK3,1,1,1,NA,FALSE,FALSE
MFAP3L,1,1,1,NA,FALSE,FALSE
GALNTL6,3,1,3,NA,FALSE,FALSE
GALNT7,1,1,1,NA,FALSE,FALSE
GLRA3,1,1,1,NA,FALSE,FALSE
LINC00290,1,1,1,NA,FALSE,FALSE
TENM3,2,2,2,NA,FALSE,FALSE
ENPP6,1,1,1,NA,FALSE,FALSE
FAT1,1,1,1,2,TRUE,FALSE
BASP1,1,1,1,NA,FALSE,FALSE
LINC02223,1,1,1,NA,FALSE,FALSE
LINC02899,2,1,2,NA,FALSE,FALSE
CDH10,1,1,1,2,TRUE,FALSE
CDH9,5,2,5,2,TRUE,TRUE
SLC1A3,2,1,2,NA,FALSE,FALSE
RPL37,2,1,2,NA,FALSE,FALSE
GHR,1,1,1,NA,FALSE,FALSE
ENSG00000288035,3,1,3,NA,FALSE,FALSE
MAP3K1,1,1,1,NA,FALSE,FALSE
ENSG00000250237,1,1,1,NA,FALSE,FALSE
ENSG00000249335,2,1,2,NA,FALSE,FALSE
BTF3,1,1,1,NA,FALSE,FALSE
ANKRD34B,2,1,2,NA,FALSE,FALSE
RPS23,3,2,3,NA,FALSE,FALSE
COX7C,1,1,1,NA,FALSE,FALSE
LINC02488,1,1,1,NA,FALSE,FALSE
LINC02144,1,1,1,NA,FALSE,FALSE
ADGRV1,6,1,6,NA,FALSE,TRUE
PAM,2,1,2,NA,FALSE,FALSE
NIHCOLE,1,1,1,NA,FALSE,FALSE
FBN2,4,1,4,NA,FALSE,FALSE
ADAMTS19,1,1,1,NA,FALSE,FALSE
ENSG00000251680,3,2,3,NA,FALSE,FALSE
CHSY3,2,1,2,NA,FALSE,FALSE
TRPC7,1,1,1,NA,FALSE,FALSE
LRRTM2,1,1,1,NA,FALSE,FALSE
KCTD16,5,2,5,NA,FALSE,TRUE
ABLIM3,1,1,1,NA,FALSE,FALSE
RPS14,1,1,1,NA,FALSE,FALSE
SGCD,2,2,2,NA,FALSE,FALSE
EBF1,11,4,13,NA,FALSE,TRUE
LINC03000,1,1,1,NA,FALSE,FALSE
TENM2,6,3,6,NA,FALSE,TRUE
SLIT3,1,1,1,NA,FALSE,FALSE
INSYN2B,1,1,1,NA,FALSE,FALSE
LINC01951,1,1,1,NA,FALSE,FALSE
RACK1,1,1,1,NA,FALSE,FALSE
SERPINB9,1,1,1,NA,FALSE,FALSE
TUBB2A,2,1,2,NA,FALSE,FALSE
TUBB2B,4,3,4,NA,FALSE,FALSE
LNC-LBCS,2,2,3,NA,FALSE,FALSE
ENSG00000289368,1,1,1,NA,FALSE,FALSE
H4C3,2,2,2,NA,FALSE,FALSE
ENSG00000291111,1,1,1,NA,FALSE,FALSE
RPS18,3,2,3,NA,FALSE,FALSE
RPS10,3,2,3,NA,FALSE,FALSE
RPL10A,3,2,3,NA,FALSE,FALSE
HSP90AB1,1,1,1,NA,FALSE,FALSE
KCNQ5,3,3,3,NA,FALSE,FALSE
EEF1A1,4,3,4,NA,FALSE,FALSE
COX7A2,1,1,1,NA,FALSE,FALSE
MEI4,1,1,1,NA,FALSE,FALSE
TENT5A,1,1,1,NA,FALSE,FALSE
PNRC1,1,1,1,NA,FALSE,FALSE
ENSG00000285961,1,1,1,NA,FALSE,FALSE
ENSG00000287683,1,1,1,NA,FALSE,FALSE
CD24,1,1,1,NA,FALSE,FALSE
HS3ST5,4,2,4,2,TRUE,FALSE
MAN1A1,1,1,1,NA,FALSE,FALSE
FABP7,1,1,1,NA,FALSE,FALSE
SAMD3,2,1,2,NA,FALSE,FALSE
RPS12,3,2,3,NA,FALSE,FALSE
PDE7B,4,2,4,NA,FALSE,FALSE
PDE7B-AS1,3,1,3,NA,FALSE,FALSE
MAP7,3,2,3,NA,FALSE,FALSE
UTRN,1,1,1,NA,FALSE,FALSE
SASH1,1,1,1,2,TRUE,FALSE
CNKSR3,1,1,1,NA,FALSE,FALSE
SLC22A3,1,1,1,NA,FALSE,FALSE
PACRG,1,1,1,NA,FALSE,FALSE
SMOC2,2,2,2,NA,FALSE,FALSE
ACTB,1,1,1,1,TRUE,FALSE
ENSG00000229618,1,1,1,NA,FALSE,FALSE
ETV1,1,1,1,NA,FALSE,FALSE
DGKB,1,1,1,NA,FALSE,FALSE
ABCB5,1,1,1,NA,FALSE,FALSE
RAPGEF5,2,1,2,NA,FALSE,FALSE
STK31,1,1,1,NA,FALSE,FALSE
ENSG00000228944,1,1,1,NA,FALSE,FALSE
NPY,5,2,5,NA,FALSE,TRUE
SKAP2,3,1,3,NA,FALSE,FALSE
PDE1C,1,1,1,2,TRUE,FALSE
BMPER,1,1,1,NA,FALSE,FALSE
DPY19L1,1,1,1,NA,FALSE,FALSE
ELMO1,1,1,1,NA,FALSE,FALSE
INHBA,1,1,1,NA,FALSE,FALSE
GLI3,1,1,1,3,TRUE,FALSE
PPIA,1,1,1,NA,FALSE,FALSE
EGFR,1,1,1,NA,FALSE,FALSE
CALN1,4,2,6,NA,FALSE,FALSE
SEMA3C,1,1,1,NA,FALSE,FALSE
GRM3,6,2,6,NA,FALSE,TRUE
ZNF804B,2,2,2,NA,FALSE,FALSE
CDK6,1,1,1,NA,FALSE,FALSE
PEG10,4,2,4,NA,FALSE,FALSE
DLX6-AS1,1,1,1,NA,FALSE,FALSE
ATP5MF,1,1,1,NA,FALSE,FALSE
ENSG00000287631,1,1,1,NA,FALSE,FALSE
RELN,5,3,5,1,TRUE,TRUE
LHFPL3,2,1,2,NA,FALSE,FALSE
SLC26A3,5,2,5,NA,FALSE,TRUE
FOXP2,5,2,7,1,TRUE,TRUE
GRM8,3,2,3,NA,FALSE,FALSE
STRIP2,8,2,8,NA,FALSE,TRUE
ENSG00000234352,2,1,2,NA,FALSE,FALSE
CNTNAP2,7,3,7,2,TRUE,TRUE
CSMD1,2,1,2,2,TRUE,FALSE
DLC1,3,1,3,NA,FALSE,FALSE
SGCZ,3,2,3,NA,FALSE,FALSE
ADRA1A,2,1,2,NA,FALSE,FALSE
STMN4,1,1,1,NA,FALSE,FALSE
NRG1,1,1,1,NA,FALSE,FALSE
UNC5D,3,3,3,3,TRUE,FALSE
ST18,2,1,2,NA,FALSE,FALSE
PENK,3,2,3,NA,FALSE,FALSE
TOX,3,2,3,NA,FALSE,FALSE
CA8,2,1,2,NA,FALSE,FALSE
