Name,Wilcoxon_FDR,Wilcoxon_nominal,limma_FDR,limma_nominal,PLSDA_VIP
Levulinic Acid,0,1,0,0,1
Glutaric Anhydride,0,1,0,0,0
2-Methylsuccinic Acid,0,1,0,1,1
D-Mannitol 1-Phosphate,0,1,0,1,1
Tryptophan,0,1,0,1,1
Lhnfrfaovvpesm-Crgcijnfna-N,0,1,0,1,1
Phloretic Acid,0,1,0,1,1
(2r)-3-Hydroxyisovaleroylcarnitine,0,1,0,1,1
Gln-Gly-Ile,0,1,0,1,0
Ps(18:0_24:6),0,1,0,0,1
Pe(19:1cooh_28:3),0,1,0,1,1
Sqdg(14:0_30:6),0,1,0,0,0
5'-S-Methyl-5'-Thioadenosine,0,1,0,0,0
2-Arachidonoyl Glycerol,0,1,0,0,1
Miltefosine,0,1,0,1,1
3-Hydroxystigmast-5-En-7-One,0,1,0,1,1
Tg(5:0_10:0_6:1cho),0,1,0,1,1
Lpe 22:3,0,1,0,1,1
Pc(11:2cho_11:2),0,1,0,1,1
Pc(6:0_17:0cho),0,1,0,1,0
Tg(28:6_14:3cho),0,1,0,1,0
Inosine,0,0,0,1,1
N-Acetyl-L-Methionine,0,0,0,1,0
5-Methylcytosine,0,0,0,1,1
L-Isoleucine,0,0,0,1,0
Pe(O-16:2_22:3),0,0,0,0,1
Dg(21:1_19:4),0,0,0,0,1
Pc(22:5cooh_25:8),0,0,0,0,1
Dg(3:0_15:0),0,0,0,0,1
7-Methylguanosine,0,0,0,0,1
Lpc 22:6-Sn1,0,0,0,0,1
"[2,2'-Biquinoline]-4,4'-Dicarboxylic Acid",0,0,0,0,1
Guanosine-5'-Triphosphate,0,0,0,0,1
Lpc(23:6),0,0,0,0,1
D-Panthenol,0,0,0,0,1
Phenylacetylglutamine,0,0,0,0,1
Pe 16:0_18:1,0,0,0,0,1
Dg(2:0_18:2),0,0,0,0,1
Pg(O-29:8_21:6),0,0,0,0,1
Pc(28:1_21:0cooh),0,0,0,0,1
Progesterone,0,0,0,0,1
Cl(18:0_17:1cho_22:4_22:4),0,0,0,0,1
Pc(27:6_8:1cooh),0,0,0,0,1
D-Gluconic Acid,0,0,0,0,1
Indole-3-Carboxaldehyde,0,0,0,0,1
2'-Deoxyadenosine,0,0,0,0,1
Tg(32:4cooh_12:0),0,0,0,0,1
Glutathionesulfonic Acid,0,0,0,0,1
N-Acetylglutamic Acid,0,0,0,0,1
Pseudouridine,0,0,0,0,1
Xanthosine,0,0,0,0,1
"D-Myo-Inositol-1,2-Diphosphate",0,0,0,0,1
Oahfa(15:1_27:4),0,0,0,0,1
Uridine,0,0,0,0,1
N-Acetyl-1-Aspartylglutamic Acid,0,0,0,0,1
L-Glutamine,0,0,0,0,1
Palmitoylcarnitine,0,0,0,0,1
Pg(20:3_20:4),0,0,0,0,1
Dihydroxyacetone Phosphate,0,0,0,0,1
1-Octadecanoyl-2-Octadecenoyl-Sn-Glycero-3-Phosphocholine,0,0,0,0,1
Myristyl Sulfate,0,0,0,0,1
"D-Fructose 1,6-Bisphosphate",0,0,0,0,1
Pc(19:1cooh_23:3),0,0,0,0,1
D-(+)-Ribonic Acid Gamma-Lactone,0,0,0,0,1
Pc(36:6_13:4cooh),0,0,0,0,1
L-2-Aminoadipic Acid,0,0,0,0,1
(R)-Pantetheine,0,0,0,0,1
(Rac)-Idroxioleic Acid,0,0,0,0,1
Sqdg(2:0_28:0),0,0,0,0,1
Pc(18:1_5:1cho),0,0,0,0,1
Udp-Β-D-Glucose (Sodium Salt),0,0,0,0,1
D-Glucose 6-Phosphate,0,0,0,0,1
Pc(24:6_14:1),0,0,0,0,1
Methyl L-Tryptophanate,0,0,0,0,1
Ganglioside-Gm1(D18:1/18:0),0,0,0,0,1
2-(5-Oxovaleryl)Phosphatidylcholine,0,0,0,0,1
"N3,N4-Dimethyl-L-Arginine",0,0,0,0,1
Cer(D15:2_7:0),0,0,0,0,1
