Name,Correlation_FDR,Correlation_nominal,limma_FDR,limma_nominal
Pc(20:4cooh_23:6),1,0,0,1
Pe(22:3_26:5),1,0,1,0
Pc(28:6_10:0cooh),1,0,1,0
L-(+)-Lactic Acid,0,1,1,0
Γ-Aminobutyric Acid,0,1,0,1
"D,L-Serine",0,1,0,1
N-Acetyl-Serine,0,1,0,1
O-Phosphocolamine,0,1,0,1
L-N-Acetylhistidine,0,1,0,1
Sarcosine,0,1,0,0
Hypotaurine,0,1,0,1
Prolinamide,0,1,0,1
L-Pyroglutamic Acid,0,1,0,1
Acetylcholine,0,1,0,0
Carnosine,0,1,0,1
Adenosine,0,1,0,1
Ophthalmate,0,1,0,1
Cytidine 5'-Triphosphate,0,1,0,1
1-Β-D-Arabinofuranosyluracil 5'-Monophosphate,0,1,0,1
Nicotinamide,0,1,0,1
(2s)-2-[(2-Azaniumylacetyl)Amino]-4-Methylpentanoate,0,1,0,1
Vidarabine Phosphate,0,1,0,1
Inosine-5'-Monophosphate (Imp),0,1,0,1
2-(Alpha-D-Mannopyranosyl)-L-Tryptophan,0,1,0,1
1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine,0,1,0,1
Δ2-Cis-Hexadecenoic Acid,0,1,0,1
Pc(14:0_4:1cho),0,1,0,1
Cl(18:0_20:1cho_23:1_21:2),0,1,0,0
Pc(20:2_21:4),0,1,0,1
Pc(19:1cooh_23:3),0,1,0,0
Pc(12:1_28:3),0,1,0,0
Pc(19:5cooh_25:8),0,1,0,0
Pc(30:8_11:3cooh),0,1,0,1
L-Glutathione Oxidized,0,1,0,0
Monopalmitolein (9c),0,1,0,1
Glycerol Monopalmitate,0,1,0,1
Vitamin D3,0,1,0,0
Cholest-4-En-3-One,0,1,0,1
Pe(O-10:0_6:0),0,1,0,1
Pe(7:0_16:0cho),0,1,0,1
Cerp(D18:0_20:3),0,1,0,0
Dl-Dipalmitoylphosphatidylcholine,0,1,0,1
Pa(18:1_20:0),0,1,0,1
1-(1z-Octadecenyl)-2-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine,0,1,0,1
Pc(18:1_16:2),0,1,0,0
Pe(17:5cho_22:6),0,1,0,1
Tg(O-27:8_21:6),0,1,0,1
Tg(5:0_15:0cho_28:3),0,1,0,0
Pe(21:4cooh_24:6),0,1,0,1
Pi(29:7_11:0),0,1,0,1
Pi(20:4_20:4),0,1,0,1
3-Hexadecyl-4-Methoxy-5-Methyloxolan-2-One,0,0,0,1
Ps(24:4_24:4),0,0,0,1
L(+)-Ornithine,0,0,0,1
3-[(2-Hydroxyethyl)Amino]-1-Propanol,0,0,0,1
Sqdg(2:0_28:0),0,0,0,1
Pi(18:0_22:6),0,0,0,1
Pc(11:1_29:4),0,0,0,1
Pe 16:0_18:1,0,0,0,1
Lpc(16:2),0,0,0,1
Meso-Erythritol,0,0,0,1
"5,5-Dimethyloxazolidine-2,4-Dione",0,0,0,1
Creatine,0,0,0,1
N2-Methylguanosine,0,0,0,1
Pc(P-12:1_26:4),0,0,0,1
Pc(21:2cho_19:4),0,0,0,1
2-Aminoisobutyric Acid,0,0,0,1
"All-Cis-4,7,10,13,16-Docosapentaenoic Acid",0,0,0,1
L-Glutamine,0,0,0,1
Putrescine,0,0,0,1
