Name,pathway_id,pathway_label,pathway_source
Glycine,map00120,Primary bile acid biosynthesis,kegg
Glycine,map00250,"Alanine, aspartate and glutamate metabolism",kegg
Glycine,map00270,Methionine Metabolism,kegg
Glycine,map00330,Arginine and proline metabolism,kegg
Glycine,map00480,Glutathione metabolism,kegg
Glycine,map00860,Porphyrin Metabolism,kegg
Glycine,map00910,Nitrogen metabolism,kegg
Glycine,R-HSA-156587,Amino Acid conjugation,reactome
Glycine,R-HSA-156590,Glutathione conjugation,reactome
Glycine,R-HSA-159418,Recycling of bile acids and salts,reactome
Glycine,R-HSA-159424,Conjugation of carboxylic acids,reactome
Glycine,R-HSA-174403,Glutathione synthesis and recycling,reactome
Glycine,R-HSA-177128,Conjugation of salicylate with glycine,reactome
Glycine,R-HSA-177135,Conjugation of benzoate with glycine,reactome
Glycine,R-HSA-189445,Metabolism of porphyrins,reactome
Glycine,R-HSA-189451,Heme biosynthesis,reactome
Glycine,R-HSA-192105,Synthesis of bile acids and bile salts,reactome
Glycine,R-HSA-193368,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,reactome
Glycine,R-HSA-194068,Bile acid and bile salt metabolism,reactome
Glycine,R-HSA-196757,Metabolism of folate and pterines,reactome
Glycine,R-HSA-2142691,Synthesis of Leukotrienes (LT) and Eoxins (EX),reactome
Glycine,R-HSA-2408508,"Metabolism of ingested SeMet, Sec, MeSec into H2Se",reactome
Glycine,R-HSA-2682334,EPH-Ephrin signaling,reactome
Glycine,R-HSA-352230,Amino acid transport across the plasma membrane,reactome
Glycine,R-HSA-379716,Cytosolic tRNA aminoacylation,reactome
Glycine,R-HSA-379724,tRNA Aminoacylation,reactome
Glycine,R-HSA-379726,Mitochondrial tRNA aminoacylation,reactome
Glycine,R-HSA-389661,Glyoxylate metabolism and glycine degradation,reactome
Glycine,R-HSA-3928662,EPHB-mediated forward signaling,reactome
Glycine,R-HSA-428559,Proton-coupled neutral amino acid transporters,reactome
Glycine,R-HSA-438064,Post NMDA receptor activation events,reactome
Glycine,R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation",reactome
Glycine,R-HSA-442660,Na+/Cl- dependent neurotransmitter transporters,reactome
Glycine,R-HSA-442742,CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,reactome
Glycine,R-HSA-442755,Activation of NMDA receptors and postsynaptic events,reactome
Glycine,R-HSA-442982,Ras activation upon Ca2+ influx through NMDA receptor,reactome
Glycine,R-HSA-5423646,Aflatoxin activation and detoxification,reactome
Glycine,R-HSA-5579006,Defective GSS causes GSS deficiency,reactome
Glycine,R-HSA-5579029,Metabolic disorders of biological oxidation enzymes,reactome
Glycine,R-HSA-5619041,Defective SLC36A2 causes iminoglycinuria (IG) and hyperglycinuria (HG),reactome
Glycine,R-HSA-5619044,Defective SLC6A19 causes Hartnup disorder (HND),reactome
Glycine,R-HSA-5619089,Defective SLC6A5 causes hyperekplexia 3 (HKPX3),reactome
Glycine,R-HSA-5619094,Variant SLC6A14 may confer susceptibility towards obesity,reactome
Glycine,R-HSA-5659735,Defective SLC6A19 causes Hartnup disorder (HND),reactome
Glycine,R-HSA-6783984,Glycine degradation,reactome
Glycine,R-HSA-6794362,Protein-protein interactions at synapses,reactome
Glycine,R-HSA-6798163,Choline catabolism,reactome
Glycine,R-HSA-71262,Carnitine synthesis,reactome
Glycine,R-HSA-71288,Creatine metabolism,reactome
Glycine,R-HSA-73817,Purine ribonucleoside monophosphate biosynthesis,reactome
Glycine,R-HSA-8849175,Threonine catabolism,reactome
Glycine,R-HSA-8849932,Synaptic adhesion-like molecules,reactome
Glycine,R-HSA-8955332,Carboxyterminal post-translational modifications of tubulin,reactome
Glycine,R-HSA-8956320,Nucleotide biosynthesis,reactome
Glycine,R-HSA-9018677,Biosynthesis of DHA-derived SPMs,reactome
Glycine,R-HSA-9026395,Biosynthesis of DHA-derived sulfido conjugates,reactome
Glycine,R-HSA-9026762,Biosynthesis of maresin conjugates in tissue regeneration (MCTR),reactome
Glycine,R-HSA-9026766,Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR),reactome
Glycine,R-HSA-9617324,Negative regulation of NMDA receptor-mediated neuronal transmission,reactome
Glycine,R-HSA-9620244,Long-term potentiation,reactome
Glycine,R-HSA-9664535,LTC4-CYSLTR mediated IL4 production,reactome
Glycine,R-HSA-9749641,Aspirin ADME,reactome
Glycine,R-HSA-9753281,Paracetamol ADME,reactome
Glycine,WP100,Glutathione metabolism,wiki
Glycine,WP1495,Glycine metabolism,wiki
Glycine,WP176,Folate metabolism,wiki
Glycine,WP241,One-carbon metabolism,wiki
Glycine,WP2525,"Trans-sulfuration, one-carbon metabolism and related pathways",wiki
Glycine,WP3584,MECP2 and associated Rett syndrome,wiki
Glycine,WP3996,Ethanol effects on histone modifications,wiki
Glycine,WP4259,Disorders of folate metabolism and transport,wiki
Glycine,WP4290,Metabolic reprogramming in colon cancer,wiki
Glycine,WP4292,Methionine metabolism leading to sulfur amino acids and related disorders,wiki
Glycine,WP4504,Cysteine and methionine catabolism,wiki
Glycine,WP4518,"Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases",wiki
Glycine,WP4688,Serine metabolism,wiki
Glycine,WP4917,Proximal tubule transport,wiki
Glycine,WP5028,"Glycine metabolism, including IMDs",wiki
Glycine,WP5029,Amino acid transport defects (IEMs),wiki
Glycine,WP5166,Glyoxylate metabolism,wiki
Glycine,WP5169,Hemesynthesis defects and porphyrias,wiki
Glycine,WP5190,Creatine pathway,wiki
Glycine,WP521,Amino acid conjugation of benzoic acid,wiki
Glycine,WP5312,Metabolic pathways of fibroblasts,wiki
Glycine,WP561,Heme biosynthesis,wiki
Glycine,WP715,Amino acid conjugation,wiki
Glycolic Acid,R-HSA-389661,Glyoxylate metabolism and glycine degradation,reactome
Glycolic Acid,WP4157,GABA metabolism (aka GHB),wiki
Glycolic Acid,WP5166,Glyoxylate metabolism,wiki
Pyruvic Acid,map00020,Citric Acid Cycle,kegg
Pyruvic Acid,map00250,"Alanine, aspartate and glutamate metabolism",kegg
Pyruvic Acid,map00270,Methionine Metabolism,kegg
Pyruvic Acid,map00330,Arginine and proline metabolism,kegg
Pyruvic Acid,map00520,Amino Sugar Metabolism,kegg
Pyruvic Acid,map00620,Pyruvate metabolism,kegg
Pyruvic Acid,map00910,Nitrogen metabolism,kegg
Pyruvic Acid,R-HSA-1614558,Degradation of cysteine and homocysteine,reactome
Pyruvic Acid,R-HSA-1614635,Sulfur amino acid metabolism,reactome
Pyruvic Acid,R-HSA-196807,Nicotinate metabolism,reactome
Pyruvic Acid,R-HSA-197264,Nicotinamide salvaging,reactome
Pyruvic Acid,R-HSA-204174,Regulation of pyruvate dehydrogenase (PDH) complex,reactome
Pyruvic Acid,R-HSA-2408508,"Metabolism of ingested SeMet, Sec, MeSec into H2Se",reactome
Pyruvic Acid,R-HSA-389661,Glyoxylate metabolism and glycine degradation,reactome
Pyruvic Acid,R-HSA-4085001,Sialic acid metabolism,reactome
Pyruvic Acid,R-HSA-427601,Multifunctional anion exchangers,reactome
Pyruvic Acid,R-HSA-428643,Organic anion transporters,reactome
Pyruvic Acid,R-HSA-433692,Proton-coupled monocarboxylate transport,reactome
Pyruvic Acid,R-HSA-446219,Synthesis of substrates in N-glycan biosythesis,reactome
Pyruvic Acid,R-HSA-5362517,Signaling by Retinoic Acid,reactome
Pyruvic Acid,R-HSA-5619070,Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT),reactome
Pyruvic Acid,R-HSA-6782315,tRNA modification in the nucleus and cytosol,reactome
Pyruvic Acid,R-HSA-6782861,Synthesis of wybutosine at G37 of tRNA(Phe),reactome
Pyruvic Acid,R-HSA-70171,Glycolysis,reactome
Pyruvic Acid,R-HSA-70263,Gluconeogenesis,reactome
Pyruvic Acid,R-HSA-70268,Pyruvate metabolism,reactome
Pyruvic Acid,R-HSA-70326,Glucose metabolism,reactome
Pyruvic Acid,R-HSA-71240,Tryptophan catabolism,reactome
Pyruvic Acid,R-HSA-73621,Pyrimidine catabolism,reactome
Pyruvic Acid,R-HSA-8956319,Nucleotide catabolism,reactome
