gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj
RPL41,3.99e-85,0.51409253,0.978,0.937,6.55e-81
RPS21,2.06e-69,0.48678277,0.93,0.845,3.39e-65
RPS27,6.79e-56,0.447453,0.985,0.981,1.11e-51
RPL39,2.8e-48,0.4300905,0.991,0.973,4.59e-44
RPS28,7.35e-47,0.40059002,0.982,0.968,1.21e-42
RPL36,6.15e-39,0.34061242,0.963,0.951,1.01e-34
RPS10,5.78e-38,0.34991991,0.765,0.637,9.48e-34
RPS15A,9.38e-38,0.35856147,0.979,0.974,1.54e-33
RPL35,6.58e-34,0.3067754,0.971,0.953,1.08e-29
RPL26,4.9e-31,0.31149741,0.957,0.942,8.03e-27
RPL38,2.29e-30,0.30824787,0.923,0.891,3.76e-26
ATP5E,9.28e-30,0.34720459,0.8,0.721,1.52e-25
RPS24,1.31e-29,0.29493143,0.995,0.988,2.15e-25
MIF,3.69e-25,0.25107147,0.798,0.7,6.05e-21
RPS29,6.7e-25,0.32404832,0.954,0.951,1.1e-20
TMSB10,7.76e-25,0.27575047,0.889,0.822,1.27e-20
RPL36A,1.19e-24,0.30403931,0.564,0.423,1.95e-20
RPL30,3.02e-24,0.2728332,0.981,0.973,4.96e-20
RPL32,6.44e-23,0.26985304,0.982,0.977,1.06e-18
RPL34,6.79e-23,0.28196928,0.983,0.981,1.11e-18
TMA7,1.24e-22,0.25285737,0.634,0.494,2.03e-18
HNRNPH1,7.31e-22,0.3279653,0.425,0.276,1.2e-17
C4orf48,2.43e-21,0.25188982,0.542,0.39,3.99e-17
RPL27,4.52e-21,0.23652493,0.921,0.896,7.42e-17
ATP5I,1.73e-19,0.24054092,0.542,0.399,2.84e-15
SEC61G,1.92e-19,0.21854699,0.457,0.3,3.15e-15
RPL17,7.88e-19,0.26037869,0.542,0.423,1.29e-14
RPLP1,1.04e-18,0.23904048,0.988,0.991,1.71e-14
COX7C,1.64e-18,0.20357435,0.862,0.814,2.69e-14
USMG5,6.82e-18,0.22188319,0.402,0.26,1.12e-13
NDUFA3,2.16e-16,0.21711404,0.384,0.25,3.54e-12
RPS12,2.65e-16,0.23040563,0.969,0.975,4.35e-12
RPS15,1.28e-15,0.20547186,0.988,0.98,2.1e-11
RPS13,2.91e-15,0.23623071,0.963,0.95,4.77e-11
RPL37,2.02e-14,0.22608855,0.973,0.966,3.32e-10
RPS23,4.52e-14,0.20128877,0.985,0.982,7.41e-10
COMMD6,2.37e-11,0.20253543,0.692,0.642,3.89e-07
PTN,1.68e-05,0.28994092,0.223,0.162,0.27501291
