gene,n_metabolites,n_cell_types,n_tests
MYO6,26,4,33
NDUFB3,26,6,29
NDUFC1,26,6,27
NTM,26,8,27
PLCXD3,26,7,35
PLD5,26,3,33
PLXDC2,26,6,32
PLXNA4,26,3,34
POU6F2,26,6,38
PTPRU,26,2,33
PTPRZ1,26,7,40
RAC3,26,4,26
RBM8A,26,6,28
SASH1,26,4,29
SELENOK,26,6,27
SKP1,26,7,29
SLC16A10,26,4,28
SLC17A7,26,2,26
SLC24A2,26,5,31
SLC4A4,26,4,43
SLC8A2,26,5,36
SNHG32,26,6,33
SPATS2L,26,4,38
SPHKAP,26,7,39
SST,26,4,27
STEAP2,26,2,29
TCEAL2,26,7,32
TGFA,26,4,36
TLE1-DT,26,4,33
ZBTB16,26,4,38
ZNF804B,26,9,30
AASS,25,4,31
ADCY2,25,5,29
ADGRL2,25,6,41
ANAPC11,25,5,30
ARG1,25,3,28
CAMK2N1,25,6,28
CBS,25,4,25
CDK6,25,5,37
CHL1,25,4,33
CNTLN,25,2,28
COL5A2,25,5,35
COMMD6,25,6,31
CUX1,25,3,26
DIRC3-AS1,25,5,47
DMD,25,6,33
DNAJA1,25,7,27
E2F3,25,5,36
EIF3F,25,4,26
EIF4A2,25,5,26
ENSG00000234953,25,2,28
ENSG00000243276,25,2,32
ENSG00000243620,25,4,30
ENSG00000260289,25,2,32
ENSG00000286046,25,3,25
ENSG00000288808,25,5,36
ENSG00000289368,25,2,25
ENSG00000289474,25,7,28
ENSG00000289731,25,3,29
EPHA3,25,8,28
ESRRG,25,4,28
FAM78B,25,5,33
GABRG3,25,5,27
GLYATL1,25,3,33
GNAI2,25,5,32
GRID1,25,5,38
GRM7-AS3,25,5,26
HCN1,25,5,28
HMGB3,25,4,26
ID4,25,5,33
JUN,25,4,28
KCNJ3,25,5,33
KCNMA1,25,6,27
KLHL13,25,5,48
KLHL4,25,3,27
LDLRAD4,25,7,35
LGI4,25,3,30
LHFPL3-AS1,25,3,32
LINC01821,25,3,25
LINC02462,25,2,29
LRRC4C,25,6,30
MAPK4,25,2,35
MEF2C,25,6,45
MRPS21,25,6,31
MSRA,25,4,33
NCALD,25,4,32
NDUFA2,25,6,26
NTN1,25,4,45
OSBPL3,25,5,30
P2RY1,25,2,29
PACRG,25,5,41
PARD3,25,3,31
PCDH9,25,8,27
PDE11A,25,3,30
PKN2-AS1,25,4,30
PLAAT1,25,1,25
PSMA7,25,6,26
PSMC3,25,6,28
PTPRG-AS1,25,3,27
PTPRT,25,7,35
PWRN4,25,4,35
RALYL,25,7,29
RASSF8-AS1,25,4,32
RGS2,25,4,42
RGS6,25,4,30
RPS6KA5,25,4,42
RUNX1T1,25,4,27
SCAND1,25,5,28
SEMA3E,25,5,26
SLC9A9,25,5,30
TANC1,25,6,34
TBCB,25,6,26
TMC7,25,4,29
TMEM196,25,3,32
TPI1,25,7,26
TTC39B,25,3,26
UBXN1,25,6,26
VWDE,25,5,30
XKR6,25,4,26
ZBTB18,25,4,26
ZEB1,25,5,33
ZNF521,25,5,51
ABLIM1,24,5,24
ADAMTS18,24,4,28
ANKRD29,24,5,36
AP1S3,24,3,33
AR,24,4,34
ARHGAP10,24,2,26
BTNL9,24,2,28
C11orf87,24,2,30
C1QTNF4,24,7,25
CACNA1D,24,4,34
CACNG5,24,3,27
CALR,24,5,25
CDK14,24,5,29
CDS1,24,5,33
COX6C,24,7,26
CPNE7,24,3,31
CRACD,24,4,43
CSMD2,24,2,24
DPP10,24,4,24
DPY19L1,24,4,28
DPYD,24,6,26
DRAP1,24,8,26
DSEL-AS1,24,3,28
ELMO1,24,6,26
ENSG00000203279,24,4,37
ENSG00000236451,24,3,29
ENSG00000236676,24,4,29
ENSG00000237019,24,3,32
ENSG00000258077,24,4,41
ENSG00000266908,24,4,25
ENSG00000284624,24,4,34
ENSG00000287209,24,2,24
ENSG00000287292,24,5,30
ENSG00000287720,24,3,25
ENSG00000287976,24,3,24
ENSG00000291189,24,3,25
FHDC1,24,5,35
FLRT3,24,3,33
GAREM1,24,4,26
GHR,24,6,37
GLYATL2,24,2,24
GPR88,24,3,37
GRAMD1C,24,5,39
GREB1L,24,6,37
GRM4,24,4,32
GTDC1,24,5,41
HECW2,24,3,24
IGSF21,24,3,35
ILDR2,24,1,24
KHDRBS3,24,5,28
KSR2,24,5,37
LAMP5,24,3,31
LAMTOR5,24,6,28
LINC01951,24,3,27
LINC02223,24,5,26
LMO3,24,5,30
MAP3K20-AS1,24,4,24
MYO5B,24,4,25
NDUFS6,24,7,30
NELL1,24,6,28
NHP2,24,6,28
NPDC1,24,7,25
NSUN7,24,5,28
NTN4,24,4,29
P3H2,24,5,28
PCDH10,24,6,32
PDAP1,24,5,25
PDE10A,24,4,46
PIK3R1,24,6,25
POU3F4,24,3,36
PSMB5,24,6,26
REX1BD,24,6,24
RGCC,24,3,24
ROMO1,24,6,25
RUNX1,24,3,26
SATB2,24,7,28
SEC61B,24,6,25
SEC62,24,6,27
SLC35F4,24,5,24
SLC7A8,24,2,29
SLC8A1,24,8,38
SMARCA2,24,5,26
STARD13,24,5,26
SYNDIG1L,24,3,29
SYT5,24,6,31
SYTL5,24,4,39
TDRD5,24,2,26
TEX41,24,3,24
THSD4,24,4,30
TLL1,24,4,26
TMEM200A,24,4,28
TNS3,24,5,28
TRAPPC5,24,7,26
TRIM5,24,3,27
TRPC6,24,4,30
ZDHHC23,24,5,28
ZFHX3,24,4,40
ZNF385B,24,7,27
ABCC8,23,2,23
ADCY5,23,4,36
ADCY8,23,5,29
ANO4,23,4,28
ARL17B,23,5,30
ASB18,23,3,27
ATP5PD,23,6,26
CAVIN2-AS1,23,3,26
CDH4,23,5,32
CDIN1,23,4,38
CEP112,23,7,36
CHRM3,23,7,24
CNKSR3,23,4,37
CNTN4,23,6,28
DCLK3,23,3,23
DCTN3,23,8,27
DLG2,23,4,24
DNLZ,23,6,25
DOCK9,23,5,33
DYNC1I1,23,7,26
EDA,23,3,32
EFNA5,23,4,29
ENSG00000228944,23,1,23
ENSG00000240086,23,4,33
ENSG00000242593,23,6,37
ENSG00000257452,23,2,30
ENSG00000258131,23,3,23
ENSG00000261191,23,3,27
ENSG00000261335,23,3,25
ENSG00000280241,23,5,29
ENSG00000285961,23,4,27
ENSG00000288035,23,2,30
EPHB1,23,8,30
FAM135B,23,4,23
FGF9,23,2,23
GABARAPL2,23,7,25
GAP43,23,5,30
GRID2,23,6,29
HHAT,23,5,33
HNRNPA0,23,4,24
KCNN3,23,5,35
KLF2-DT,23,4,32
LINC01013,23,6,24
LINC01090,23,3,25
LINC01830,23,3,26
LINC02197,23,4,27
LRATD1,23,3,27
MAML3,23,4,26
MCM7,23,3,23
MIR4300HG,23,3,23
MME,23,4,38
MMP17,23,5,32
MOB3B,23,5,27
MT-CO3,23,7,25
MYO3A,23,2,24
NALCN,23,4,29
NETO1-DT,23,2,26
NIPAL2,23,5,29
P2RY14,23,4,37
PDE3A,23,4,30
PDE3B,23,3,38
PRKCH,23,4,42
PRMT8,23,5,33
PRSS12,23,6,25
PRSS23,23,2,28
PTCH1,23,4,30
PTPRK,23,4,24
RIPK1,23,2,30
SCD,23,4,24
SEMA3C,23,7,27
SGCZ,23,6,32
SINHCAF,23,4,25
SLC26A5-AS1,23,3,26
SMIM26,23,7,23
SPCS1,23,5,25
SRM,23,6,24
TENT5A,23,3,24
TMEM178A,23,4,29
TP53I11,23,4,23
TUFM,23,5,25
TUNAR,23,3,28
UBE2S,23,5,24
VSTM2A,23,3,26
WIPF3,23,2,23
YIPF3,23,6,25
ZDHHC2,23,4,31
ABAT,22,5,35
APLF,22,5,27
ARFGEF3,22,4,29
ARPC3,22,5,24
ATP1A1,22,6,22
ATXN1,22,6,28
BLOC1S1,22,5,30
CACNA1A,22,5,24
CADM1,22,5,26
CAMK2A,22,4,34
CATSPERB,22,1,22
CCDC167,22,6,22
CDH2,22,4,27
CIAO2B,22,5,25
COA4,22,5,24
COL15A1,22,2,22
COL6A6,22,4,26
CORIN,22,4,29
CPNE5,22,4,33
CRB1,22,4,23
CXADR,22,4,28
DGKH,22,4,31
DNAH11,22,3,26
DOCK1,22,5,30
DOCK10,22,6,30
ENSG00000228509,22,2,22
ENSG00000251293,22,3,23
ENSG00000259616,22,4,24
ENSG00000282885,22,7,25
ENSG00000285605,22,3,27
ENSG00000287508,22,4,30
ENSG00000287559,22,4,29
ENSG00000291111,22,1,22
ENTPD3,22,4,36
FKBP1B,22,6,24
FMNL1-DT,22,4,35
GAD1,22,3,26
GFRA1,22,5,24
GREM2,22,4,29
HCG24,22,2,28
IDI1,22,6,25
ITPR1,22,6,30
KCNQ3,22,3,22
KCNQ5,22,8,22
KCTD12,22,4,25
KHDRBS2-OT1,22,4,23
KIF26A,22,5,30
LDB2,22,5,29
LINC00290,22,5,24
LINC02712,22,4,27
MALT1,22,1,22
MCF2L2,22,5,26
MEI4,22,3,23
MFAP3L,22,2,23
MIR193BHG,22,3,27
MIR3659HG,22,3,23
NCKAP5-AS2,22,2,22
NCOA1,22,2,33
NDST4,22,5,28
NDUFB2,22,6,25
NECAB1,22,6,23
NGEF,22,4,41
NKAIN2,22,8,29
NPL,22,4,27
NR3C2,22,6,33
OSBPL10,22,4,31
PCDH19,22,3,24
PCSK5,22,3,22
PLOD2,22,3,29
PLPPR3,22,6,22
PROM1,22,3,25
RAP1GAP,22,4,39
RERGL,22,3,22
RIC8B,22,3,25
RSPO2,22,5,23
SCUBE1,22,3,22
SEC61G,22,6,27
SEMA3A,22,3,24
SERPINB6,22,3,25
SLC1A3,22,6,28
SLC25A43,22,3,25
SLC44A1,22,5,27
SLITRK4,22,3,25
SLITRK5,22,4,22
SNTG1,22,4,25
SPOCK1,22,6,30
ST3GAL5,22,4,42
STARD5,22,1,22
SUGCT,22,2,22
SYNPO2,22,3,31
SYT1,22,3,23
