"Compound.ID","Name","Formula","Sample01","Sample08","Sample09","Sample10","Sample19","Sample20","Sample32","Sample35"
"Amide-Neg-000001","Acrylic acid","C3 H4 O2",NA,NA,NA,2198233.91521475,1590903.57618868,980712.321620304,1517939.5931335,1899083.63617342
"Amide-Neg-000002","Acrylic acid","C3 H4 O2",2548196.78338743,10362806.5304422,3592827.49117221,5266412.52650716,5023374.88968519,4231794.30570167,10735622.4223314,10748194.8842512
"Amide-Neg-000011","Glycine","C2 H5 N O2",2599423.28275191,5374635.96188418,1624154.22382203,1993071.83592827,2971470.75209569,2235397.39617047,3054141.34593535,1914677.62912031
"Amide-Neg-000013","Glycolic acid","C2 H4 O3",13651394.2202085,2949160.8380968,9409779.3763239,12077929.3220955,8995914.93815601,3681363.95569027,7001420.38458082,14861557.4872719
"Amide-Neg-000015","Glycolic acid","C2 H4 O3",NA,NA,NA,12077929.3220955,NA,NA,NA,NA
"Amide-Neg-000017","Glycine","C2 H5 N O2",501921.804617513,537893.031234808,348070.02997781,640631.739843922,598397.925815777,342874.974235472,539303.347897608,392813.332872505
"Amide-Neg-000028","Crotonic acid","C4 H6 O2",850902.082083075,4014135.23732981,1360923.09928633,2584315.68093779,2157515.05718049,1616213.44963388,4542188.84825209,2435682.1189045
"Amide-Neg-000032","Pyruvic acid","C3 H4 O3",NA,21626197.8735482,NA,NA,NA,9133255.54582316,NA,NA
"Amide-Neg-000033","Pyruvic acid","C3 H4 O3",36185815.2858068,66011849.2636933,30570935.2839535,76028619.7286505,67976742.2196512,37280862.1374706,61779119.1211536,38197388.4880552
"Amide-Neg-000047","DL-Alanine","C3 H7 N O2",10585205.6984233,14119983.90691,7615026.78948912,12201628.0085766,13214904.7600116,7257371.98333853,12335928.0522478,7714092.28073446
"Amide-Neg-000049","DL-Alanine","C3 H7 N O2",2670673.50129529,2487438.51381132,1277079.80036216,2292586.78923751,824445.152487502,1899214.73218017,2548382.07574886,2036385.67800842
"Amide-Neg-000051","DL-Lactic Acid","C3 H6 O3",513741452.417958,396948144.188309,410632125.524809,708206863.000423,582075095.335751,254342413.211033,442233159.145711,412836988.431166
"Amide-Neg-000056","L-(+)-Lactic acid","C3 H6 O3",NA,7436088.94383866,3182074.09889921,7736199.11597385,4986231.19558067,1200246.82883735,NA,NA
"Amide-Neg-000057","DL-Lactic Acid","C3 H6 O3",313849.376935078,5990528.52308885,140508.262202229,NA,NA,8542.31831482473,5410029.50528267,1650176.6490699
"Amide-Neg-000059","Oxalic acid","C2 H2 O4",410221.022329096,260960.290473584,218027.971314024,399538.478726061,229757.795583455,152150.883111666,923276.666386242,507975.396426619
"Amide-Neg-000066","L-(+)-Lactic acid","C3 H6 O3",NA,3059031.25175899,NA,NA,3298642.92047736,NA,NA,NA
"Amide-Neg-000076","Isobutyric acid","C4 H8 O2",810256.641711986,2073831.39464597,540712.331239274,1072285.24243945,877120.36750859,458592.806980842,589091.969631847,638239.03986475
"Amide-Neg-000078","Isobutyric acid","C4 H8 O2",757199.989857928,NA,640976.466365861,1192673.25738266,861166.873476383,459762.039023735,835775.704959772,671425.183508662
