"","transcriptId","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","distanceToTSS","entrezgene_id","hgnc_symbol"
"1","ENST00000008527.10","chr12",107093584,107093850,267,"*","Promoter (<=1kb)",12,106991364,107093549,102186,2,"1407",-35,1407,"CRY1"
"2","ENST00000064778.8","chr11",73598197,73598594,398,"*","Promoter (<=1kb)",11,73400487,73598189,197703,2,"23201",-8,23201,"FAM168A"
"3","ENST00000085068.7","chr19",55461662,55462235,574,"*","Promoter (<=1kb)",19,55452989,55461645,8657,2,"79763",-17,79763,"ISOC2"
"4","ENST00000166244.8","chr1",22543056,22543328,273,"*","Distal Intergenic",1,22563489,22603595,40107,1,"2046",-20161,2046,"EPHA8"
"5","ENST00000186436.10","chr2",97995980,97996323,344,"*","Promoter (<=1kb)",2,97756336,97995948,239613,2,"23505",-32,23505,"TMEM131"
"6","ENST00000192314.7","chr2",241767225,241767540,316,"*","Intron (ENST00000403782.5/728294, intron 8 of 8)",2,241776822,241804287,27466,1,"64090",-9282,64090,"GAL3ST2"
"7","ENST00000204961.5","chrX",68902060,68902354,295,"*","Distal Intergenic",23,68829021,68842160,13140,1,"1947",73039,1947,"EFNB1"
"8","ENST00000206020.8","chr17",4967900,4968177,278,"*","Promoter (<=1kb)",17,4959226,4967817,8592,2,"9552",-83,9552,"SPAG7"
"9","ENST00000215368.4","chr19",1284803,1285327,525,"*","Promoter (<=1kb)",19,1285873,1301431,15559,1,"1943",-546,1943,"EFNA2"
"10","ENST00000215570.8","chr19",2427650,2427916,267,"*","Promoter (<=1kb)",19,2425625,2427586,1962,2,"26517",-64,26517,"TIMM13"
"11","ENST00000215574.9","chr19",524625,525418,794,"*","Distal Intergenic",19,531760,542087,10328,1,"997",-6342,997,"CDC34"
"12","ENST00000215793.13","chr22",30356686,30357017,332,"*","Promoter (<=1kb)",22,30331988,30356894,24907,2,"10291",0,10291,"SF3A1"
"13","ENST00000216252.4","chr22",41468752,41469031,280,"*","Promoter (<=1kb)",22,41459717,41468692,8976,2,"84844",-60,84844,"PHF5A"
"14","ENST00000216259.8","chr22",41589561,41590197,637,"*","Promoter (<=1kb)",22,41576900,41589840,12941,2,"5372",0,5372,"PMM1"
"15","ENST00000216799.9","chr14",24141820,24142119,300,"*","Promoter (<=1kb)",14,24138965,24141591,2627,2,"51016",-229,51016,"EMC9"
"16","ENST00000217420.2","chr20",38720614,38721025,412,"*","Distal Intergenic",20,38724486,38729372,4887,1,"140679",-3461,140679,"SLC32A1"
"17","ENST00000221419.10","chr19",38849568,38850639,1072,"*","Promoter (<=1kb)",19,38836370,38849986,13617,2,"3191",0,3191,"HNRNPL"
"18","ENST00000222249.13","chr19",17948198,17948565,368,"*","Promoter (2-3kb)",19,17951293,18000080,48788,1,"3780",-2728,3780,"KCNN1"
"19","ENST00000222256.9","chr19",18204018,18204636,619,"*","Promoter (<=1kb)",19,18196784,18204042,7259,2,"5864",0,5864,"RAB3A"
"20","ENST00000223208.10","chr7",130440781,130441219,439,"*","Promoter (<=1kb)",7,130393771,130441016,47246,2,"95681",0,95681,"CEP41"
"21","ENST00000225719.9","chr17",30359446,30359921,476,"*","Distal Intergenic",17,30378927,30469989,91063,1,"1362",-19006,1362,"CPD"
"22","ENST00000226247.2","chr17",28517156,28518116,961,"*","Intron (ENST00000577936.2/8456, intron 1 of 8)",17,28523941,28538896,14956,1,"8456",-5825,8456,"FOXN1"
"23","ENST00000228468.8","chr12",50051086,50051334,249,"*","Distal Intergenic",12,50057548,50083611,26064,1,"41",-6214,41,"ASIC1"
"24","ENST00000228506.8","chr12",120686448,120686830,383,"*","Promoter (<=1kb)",12,120687149,120701859,14711,1,"9761",-319,9761,"MLEC"
"25","ENST00000233630.11","chr2",74507650,74507979,330,"*","Promoter (<=1kb)",2,74505043,74507695,2653,2,"84759",0,84759,"PCGF1"
"26","ENST00000241071.11","chr7",100586205,100586587,383,"*","Promoter (<=1kb)",7,100586328,100601117,14790,1,"26261",0,26261,"FBXO24"
"27","ENST00000245304.5","chr13",97433085,97433505,421,"*","Promoter (<=1kb)",13,97434169,97469128,34960,1,"5911",-664,5911,"RAP2A"
"28","ENST00000246421.4","chr1",1746203,1746743,541,"*","Promoter (<=1kb)",1,1732242,1745992,13751,2,"9906",-211,NA,""
"29","ENST00000248244.6","chr19",4815806,4816150,345,"*","3' UTR",19,4815932,4831712,15781,2,"148022",15562,148022,"TICAM1"
"30","ENST00000250056.12","chr17",6443913,6444201,289,"*","Promoter (<=1kb)",17,6444441,6451065,6625,1,"54478",-240,54478,"PIMREG"
"31","ENST00000250693.2","chr11",3653919,3654738,820,"*","Intron (ENST00000529556.1/417, intron 1 of 3)",11,3645128,3664416,19289,1,"417",8791,417,"ART1"
"32","ENST00000251527.10","chr7",158829321,158830136,816,"*","Promoter (<=1kb)",7,158730995,158829628,98634,2,"57488",0,57488,"ESYT2"
"33","ENST00000252505.4","chr2",3650669,3651700,1032,"*","Exon (ENST00000691818.1/ENST00000691818.1, exon 1 of 1)",2,3658200,3702671,44472,1,"55821",-6500,55821,"ALLC"
"34","ENST00000252999.7","chr20",62373713,62374106,394,"*","Distal Intergenic",20,62309065,62367312,58248,2,"3911",-6401,3911,"LAMA5"
"35","ENST00000253024.10","chr19",58544011,58544357,347,"*","Promoter (<=1kb)",19,58544064,58550715,6652,1,"10155",0,10155,"TRIM28"
"36","ENST00000253407.4","chr17",44968574,44969071,498,"*","Promoter (<=1kb)",17,44959693,44968303,8611,2,"10882",-271,10882,"C1QL1"
"37","ENST00000253928.14","chr16",2905533,2905952,420,"*","Distal Intergenic",16,2911931,2951208,39278,1,"84256",-5979,84256,"FLYWCH1"
"38","ENST00000254337.11","chr19",13951956,13952658,703,"*","Promoter (<=1kb)",19,13952509,13961449,8941,1,"90379",0,90379,"DCAF15"
"39","ENST00000254806.8","chr17",75855144,75855642,499,"*","Promoter (<=1kb)",17,75845699,75855335,9637,2,"23558",0,23558,"WBP2"
"40","ENST00000255305.11","chr13",20902568,20902839,272,"*","Promoter (<=1kb)",13,20777329,20902746,125418,2,"64328",0,64328,"XPO4"
"41","ENST00000257694.13","chr7",108525885,108526220,336,"*","Promoter (<=1kb)",7,108470417,108526135,55719,2,"50640",0,50640,"PNPLA8"
"42","ENST00000258459.12","chr2",97590289,97590752,464,"*","Promoter (<=1kb)",2,97504798,97589877,85080,2,"57730",-412,57730,"ANKRD36B"
"43","ENST00000261835.8","chr14",99683948,99684301,354,"*","Promoter (<=1kb)",14,99684298,99727301,43004,1,"10858",0,10858,"CYP46A1"
"44","ENST00000261942.7","chr5",176447983,176448389,407,"*","Promoter (<=1kb)",5,176448385,176510074,61690,1,"23197",0,23197,"FAF2"
"45","ENST00000262124.15","chr18",12947591,12948097,507,"*","Promoter (<=1kb)",18,12947995,12987536,39542,1,"81929",0,81929,"SEH1L"
"46","ENST00000262178.7","chr7",159171602,159172341,740,"*","Distal Intergenic",7,159028175,159144867,116693,2,"7434",-26735,7434,"VIPR2"
"47","ENST00000262178.7","chr7",159152463,159153013,551,"*","Distal Intergenic",7,159028175,159144867,116693,2,"7434",-7596,7434,"VIPR2"
"48","ENST00000262178.7","chr7",159202697,159203671,975,"*","Distal Intergenic",7,159028175,159144867,116693,2,"7434",-57830,7434,"VIPR2"
"49","ENST00000262320.8","chr16",352745,353609,865,"*","Promoter (<=1kb)",16,287440,352723,65284,2,"8312",-22,8312,"AXIN1"
"50","ENST00000262809.9","chr19",18521887,18522664,778,"*","Promoter (<=1kb)",19,18442663,18522070,79408,2,"8178",0,8178,"ELL"
"51","ENST00000262962.12","chr19",4247017,4247844,828,"*","Promoter (<=1kb)",19,4247080,4269088,22009,1,"55702",0,55702,"YJU2"
