CellType,SSD01_tissue1,SSD02_tissue2,SSD03_tissue3,SSD06_tissue6,SSD07_tissue7,SSD08_tissue8,SSD09_tissue9,SSD10_tissue10,SSD11_tissue11,SSD12_tissue12,SSD15_tissue15,SSD17_tissue17,SSD18_tissue18,SSD19_tissue19,SSD20_tissue20,SSD21_tissue21,SSD22_tissue22,SSD23_tissue23,SSD24_tissue24,SSD25_tissue25,SSD26_tissue26,SSD27_tissue27,SSD30_tissue30,SSD31_tissue31,SSD32_tissue32,SSD33_tissue33,SSD34_tissue34,SSD35_tissue35,SSD36_tissue36,SSD37_tissue37,SSD38_tissue38,SSD39_tissue39,SSD40_tissue40,SSD41_tissue41,SSD42_tissue42,SSD43_tissue43,SSD44_tissue44,SSD45_tissue45,SSD46_tissue46,SSD47_tissue47,SSD48_tissue48,SSD49_tissue49,SSD50_tissue50
Astrocyte,4,28,14,47,184,19,22,39,4,11,53,128,37,203,40,13,47,64,70,68,18,25,94,100,102,62,115,76,30,16,21,28,12,11,54,34,39,40,53,171,50,48,65
Cajal-Retzius cell,4,1,1,25,1505,60,25,34,26,9,5,655,4,2,8,4,16,15,35,44,1,6,9,1420,25,19,10,6,16,6,0,3,4,0,6,50,4,6,1,10,0,14,0
EN-DL,1077,264,689,1158,856,778,840,1022,2046,1745,104,122,429,12,597,346,774,765,578,695,298,1266,703,494,2579,1278,954,1499,2726,1943,674,934,1800,817,63,1993,976,402,778,963,0,2145,218
EN-Newborn,429,222,292,173,3,116,159,230,403,250,48,28,299,1404,496,143,802,587,774,762,448,1136,1231,1029,1312,1306,967,1190,1347,474,505,625,657,126,308,818,874,558,573,803,327,1469,651
EN-UL,1002,304,900,273,199,249,183,177,871,683,33,294,490,2,530,274,628,279,82,239,820,2612,1415,157,735,440,1369,866,1837,1566,753,1685,513,812,6,1672,674,740,909,869,3,1394,433
IN-CGE,21,36,105,32,383,16,17,32,35,39,16,31,128,291,97,107,123,91,72,250,105,344,248,349,550,84,271,114,183,278,81,126,92,139,62,206,119,122,37,392,48,263,54
IN-MGE,52,52,148,58,117,32,26,52,69,103,33,15,228,405,94,124,205,107,87,309,179,506,360,285,720,133,348,209,389,443,126,254,139,134,57,258,165,141,138,257,93,402,129
IPC-EN,13,28,0,33,0,15,47,49,0,1,22,40,9,457,109,0,44,94,192,55,18,52,210,370,243,277,95,181,31,3,39,65,21,0,15,25,25,55,181,171,197,43,116
IPC-Glia,5,0,14,4,31,7,5,7,2,16,2,350,20,22,12,3,23,17,4,43,12,31,31,25,19,0,46,24,18,13,10,10,8,3,33,31,11,8,0,89,0,23,15
Microglia,1,3,3,1,36,7,6,3,0,1,0,30,3,6,6,0,3,7,3,5,9,15,8,27,16,4,6,12,10,6,2,3,4,4,12,8,0,19,2,81,1,3,11
OPC,9,10,24,16,105,14,8,17,13,30,5,35,34,18,19,14,33,15,16,75,22,56,57,30,55,10,50,53,66,44,11,29,54,15,49,55,30,17,4,47,5,50,33
Radial glia,9,22,1,40,7,32,50,86,0,3,44,44,10,154,35,0,29,101,202,25,5,17,47,207,79,257,58,71,12,1,16,12,12,2,6,20,5,21,107,160,96,32,50
Vascular,3,5,5,3,19,0,2,7,0,1,0,17,9,13,3,1,13,6,10,2,0,14,5,9,5,24,9,20,26,6,4,3,0,0,6,31,4,2,4,13,0,10,1
Oligodendrocyte,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1
