CellType,SSD01_tissue1,SSD02_tissue2,SSD03_tissue3,SSD06_tissue6,SSD07_tissue7,SSD08_tissue8,SSD09_tissue9,SSD10_tissue10,SSD11_tissue11,SSD12_tissue12,SSD15_tissue15,SSD17_tissue17,SSD18_tissue18,SSD19_tissue19,SSD20_tissue20,SSD21_tissue21,SSD22_tissue22,SSD23_tissue23,SSD24_tissue24,SSD25_tissue25,SSD26_tissue26,SSD27_tissue27,SSD30_tissue30,SSD31_tissue31,SSD32_tissue32,SSD33_tissue33,SSD34_tissue34,SSD35_tissue35,SSD36_tissue36,SSD37_tissue37,SSD38_tissue38,SSD39_tissue39,SSD40_tissue40,SSD41_tissue41,SSD42_tissue42,SSD43_tissue43,SSD44_tissue44,SSD45_tissue45,SSD46_tissue46,SSD47_tissue47,SSD48_tissue48,SSD49_tissue49,SSD50_tissue50
Astrocyte-Immature,0.15,2.87,0.59,2.52,5.05,1.41,1.29,2.16,0.09,0.24,14.25,7.04,2.18,6.79,1.86,1.26,1.72,2.98,2.96,2.64,0.93,0.41,2.13,2.22,1.57,1.54,2.42,1.76,0.45,0.27,0.94,0.71,0.3,0.48,7.66,0.62,1.33,1.59,1.69,4.1,5.12,0.61,3.66
Cajal-Retzius cell,0.15,0.1,0.05,1.34,43.69,4.46,1.8,1.94,0.75,0.31,1.37,36.61,0.24,0.07,0.39,0.39,0.58,0.7,1.65,1.71,0.05,0.1,0.2,31.54,0.39,0.49,0.23,0.14,0.24,0.13,0,0.08,0.12,0,0.88,0.96,0.14,0.28,0.04,0.25,0,0.24,0
EN-IT-Immature,37.85,30.97,40.53,12.94,4.47,18.51,13.16,10.08,24.99,23.13,7.4,16.43,23.93,0.07,25.37,24.59,22.92,12.99,3.86,9.29,42.07,42.78,32.01,3.47,10.85,11.2,30.13,18.84,26.17,26.8,33.54,28.17,13.21,24.67,0.44,31.24,22.39,34.57,16.9,19.72,0.12,23.54,24.25
EN-L4-IT,0.27,0.21,0.46,1.72,1.31,0,0,0,0.12,0.45,1.64,0,4.88,0,0.49,2.04,0,0,0,0,0.31,0.18,0,0.02,0.56,0.1,1.7,1.2,1.14,5.83,0.04,16.44,2.26,14.69,0.44,0.88,0.65,0.14,15.72,1.86,0.24,0.1,0.11
EN-L5-IT,4.11,0,0.91,0.38,0,0,0,0,0,0.9,0,0.06,0,0,0.15,0.1,0,0,0,0.04,0,0,0,0,0.02,0,0.09,0.02,0,0.04,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0
EN-L5_6-NP,0.3,0.82,0.59,1.02,2.73,9.59,3.67,6.95,1.76,0.69,2.74,0.06,0.82,0.03,0.83,3.11,2.59,1.26,1.18,2.33,0.21,0.31,1.56,0.58,0.89,1.26,1.3,0.39,0.63,0.44,0.45,0.32,2.59,0.34,1.03,1.56,4.17,0.61,0.68,3.2,0,1.71,0.28
EN-L6-CT,4.68,0.92,2.78,1.02,0.12,0.22,0.36,0,0.84,1.63,0.55,0.67,0.41,0,2.25,0.49,0.22,0,0.19,0,1.03,1.12,0.27,0.04,2.14,4.19,1.46,3.36,1.91,2,0.22,0.9,1.18,0.78,0.29,0.94,0.58,0.33,3.62,0.22,0,0.05,0.23
EN-L6-IT,13.88,16.62,14.98,45.14,0.46,37.1,41.7,28.59,38.48,45.02,18.9,3.19,16.17,0,16.47,20.51,13.07,9.73,2.26,15.98,4.5,7.88,5.75,2.15,21.26,1.03,11.95,18.21,22.52,25.55,10.44,15.65,24.46,27.29,5.74,18.42,20.16,5.77,13.1,10.71,0,10.24,5.12
EN-L6b,14.91,6.97,11.07,11.33,20.84,4.61,10.21,8.26,6.66,8.68,5.48,1.57,6.11,0.37,5.91,8.45,5.99,7.54,11.11,5.48,8.94,10.16,6.59,3.84,8.98,14.51,4.28,9.47,11.78,9.15,9.72,6.7,14.41,7.13,1.33,10.92,5.06,10.55,7.86,4,0,9.97,6.13
EN-Newborn,16.32,22.77,13.3,9.29,0.09,8.62,11.43,13.1,11.62,8.64,13.15,1.57,17.58,46.97,24.24,13.9,29.27,27.33,36.42,29.63,23.15,18.68,27.86,22.86,20.37,33.54,22.48,27.54,20.13,9.88,22.52,16.55,19.81,6.11,45.36,15.73,29.87,26.17,20.56,19.95,39.88,24.91,36.63
EN-Non-IT-Immature,3.08,1.74,1.05,3.27,0.03,6.32,4.46,14.41,11.24,3.42,0.82,1.29,1.7,0,3.57,0.97,6.39,17.09,12.47,3.19,0.72,1.35,1.74,4.02,6.77,11.84,3.09,3.24,3.9,3.31,9.23,1.11,11.61,4.02,0.88,6.48,3.35,1.59,2.66,5.79,0,14.26,0.51
IN-CGE-Immature,0.49,2.56,3.37,0.7,1.68,0.3,0.14,0.63,0.46,0.76,0.82,0.73,5.35,5.29,2.59,6.61,2.92,3.07,1.88,6.07,3.98,3.87,3.83,3.78,5.47,1.28,3.79,1.9,2.18,3.79,1.83,1.93,1.66,4.7,6.63,2.71,2.36,4.83,1.04,7.18,1.46,3.1,2.42
IN-CGE-VIP,0.19,0.82,1.09,0.27,6.18,0.07,0,0,0.4,0.38,0,0,1.23,0,0.05,1.85,0.73,0.23,0.61,0.93,1.09,0.9,1.02,0.13,0.48,0,0.67,0.16,0.19,1.46,1.34,0.87,0.69,1.75,0.15,0.37,0.82,0.19,0.14,0.55,0,0.58,0.17
IN-MGE-Immature,0.91,2.36,3.46,1.72,0.38,1.04,1.08,1.94,0.35,1.59,7.12,0.17,7.64,13.42,3.96,5.93,3.83,3.49,2.96,6.8,3.93,3.9,3.78,5.24,7.13,2.13,4.16,3.17,2.48,4.21,2.27,2.22,1.42,2.52,6.92,2.46,1.91,3.89,1.29,4.02,5.61,2.75,3.66
IN-MGE-PV,0.23,0.62,0.59,0.11,0.78,0.15,0.07,0.34,0.12,0.28,0.27,0,1.23,0.03,0.24,2.24,1.17,0.47,0.33,1.17,0.88,0.84,0.88,0.22,0.92,0.33,0.91,0.3,0.67,1,0.85,0.74,0.48,0.63,0.88,0.6,0.79,0.56,0.25,0.32,0,1.44,0.68
IN-MGE-SST,0.8,2.36,2.69,1.13,2.09,1.04,0.5,0.63,1.5,1.69,1.64,0.06,4.41,0.1,0.39,3.89,2.45,1.02,0.66,4.04,4.44,3.54,3.49,0.78,3.07,0.72,3,1.37,2.66,3.98,2.45,3.36,2.26,3.3,0.44,1.85,2.84,1.5,1.69,1.86,0.24,2.61,1.01
IN-dLGE-Immature,0.11,0.21,0.05,0.64,2.93,0.59,0.93,0.91,0,0.21,3.56,0.95,0.47,4.45,2.05,0.78,0.58,0.7,0.89,2.37,0.21,0.12,0.32,3.78,2.2,0.85,0.44,0.44,0.18,0.1,0.13,0.11,0.24,0.05,2.36,0.42,0.34,0.52,0.14,1.52,4.27,0.24,0.23
IPC-EN,0.49,2.87,0,1.77,0,1.12,3.38,2.79,0,0.03,6.03,2.24,0.53,15.29,5.33,0,1.61,4.38,9.04,2.14,0.93,0.86,4.75,8.22,3.77,7.11,2.21,4.19,0.46,0.06,1.74,1.72,0.63,0,2.21,0.48,0.85,2.58,6.49,4.25,24.02,0.73,6.53
IPC-Glia,0.19,0,0.64,0.21,0.9,0.52,0.36,0.4,0.06,0.55,0.55,19.56,1.18,0.74,0.59,0.29,0.84,0.79,0.19,1.67,0.62,0.51,0.7,0.56,0.3,0,1.07,0.56,0.27,0.27,0.45,0.26,0.24,0.15,4.86,0.6,0.38,0.38,0,2.21,0,0.39,0.84
Microglia,0.04,0.31,0.14,0.05,1.04,0.52,0.43,0.17,0,0.03,0,1.68,0.18,0.2,0.29,0,0.11,0.33,0.14,0.19,0.47,0.25,0.18,0.6,0.25,0.1,0.14,0.28,0.15,0.13,0.09,0.08,0.12,0.19,1.77,0.15,0,0.89,0.07,2.01,0.12,0.05,0.62
OPC,0.34,1.03,1.09,0.86,3.05,1.04,0.58,0.97,0.37,1.04,1.37,1.96,2,0.6,0.93,1.36,1.2,0.7,0.75,2.92,1.14,0.92,1.29,0.67,0.85,0.26,1.16,1.23,0.99,0.92,0.49,0.77,1.63,0.73,7.22,1.06,1.03,0.8,0.14,1.17,0.61,0.85,1.86
RG-oRG,0.04,0.31,0,0.27,0,0.15,0.43,0.91,0,0,3.84,0.06,0,0.7,0.34,0,0.11,0.79,1.84,0.04,0,0.02,0.02,0.4,0.16,2.05,0.02,0.12,0,0,0.04,0.03,0.03,0,0,0.02,0,0.05,0.11,0.07,0.85,0.03,0.28
RG-tRG,0.04,0,0,0.27,0,0.07,0.07,0,0,0,2.19,0.39,0,0.5,0.1,0,0.07,1.63,1.36,0.04,0,0.07,0.14,1.51,0.19,0.77,0.02,0.19,0.03,0,0.09,0,0.03,0,0.15,0.08,0,0,0.61,3.1,0.61,0.1,0
RG-vRG,0.27,1.95,0.05,1.61,0.2,2.16,3.09,3.99,0,0.1,6.03,2.01,0.59,3.95,1.27,0,0.88,2.28,6.31,0.89,0.26,0.2,0.91,2.69,0.89,3.78,1.3,1.34,0.15,0.02,0.58,0.29,0.3,0.1,0.74,0.29,0.17,0.94,3.12,0.79,10.24,0.41,2.53
Unknown,0.04,0,0,0.16,0.03,0.15,0.22,0.06,0.03,0,0,0.06,0.06,0,0,0,0.04,0,0.14,0,0,0.05,0,0.04,0.05,0.23,0.02,0,0,0.04,0.04,0.4,0.03,0.05,0.15,0.06,0.1,0.66,1.72,0.17,5.49,0.02,1.91
Vascular,0.11,0.51,0.23,0.16,0.55,0,0.14,0.4,0,0.03,0,0.95,0.53,0.43,0.15,0.1,0.47,0.28,0.47,0.08,0,0.23,0.11,0.2,0.08,0.62,0.21,0.46,0.39,0.13,0.18,0.08,0,0,0.88,0.6,0.14,0.09,0.14,0.32,0,0.17,0.06
IN-CGE-SNCG,0,0.1,0.27,0.11,0.32,0.22,0.14,0.28,0.14,0,0,0.06,0.47,0,0.05,1.17,0.26,0.23,0,0.35,0.16,0.77,0.45,0.07,0.39,0.03,1.4,0.14,0.18,0.44,0.31,0.42,0.18,0.24,0,0.46,0.55,0.19,0,0.5,0.12,0.54,0.23
Astrocyte-Fibrous,0,0,0.05,0,0.29,0,0.29,0.06,0.03,0.14,0.27,0.11,0,0,0.1,0,0,0,0.33,0,0,0,0,0,0.02,0.05,0.26,0,0,0.06,0,0.03,0.06,0.05,0.29,0.04,0,0.28,0.22,0.15,0.98,0.2,0
EN-L5-ET,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0.03,0,0,0,0.03,0,0,0,0,0.14,0
IN-Mix-LAMP5,0,0,0,0,0.12,0,0,0,0,0,0,0.56,0.06,0,0,0,0,0,0,0,0,0,0,0.04,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
